Company Name,Job Title,Location,Company Domain,Job LinkedIn URL,Posted On,GPA out of 4,GPA out of 5,Majors,Duration,Skills,Description
Elm Company,"Coop Training - Computer Science (Jan,Mar,Jun,Aug 2025 Intake) Job",Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-computer-science-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056471126,2024-10-23T19:03:38.000Z,2.75,3.25,computer science,16 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","Elm Company offers multiple co-op opportunities in IT Development, Quality Assurance, IoT, Artificial Intelligence, and other areas. The program provides practical experience and exposure to emerging technologies from subject matter experts. Eligibility requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and one remaining final semester before graduation. The co-op lasts a minimum of 16 weeks."
Zid | زد,Legal Intern,Riyadh,zid.com.ua,https://www.linkedin.com/jobs/view/legal-intern-at-zid-%D8%B2%D8%AF-4067532636,2024-11-03T16:34:35.525Z,,,law,,"Contract drafting and review, NDA review, legal research, regulatory framework knowledge, policy knowledge, precedent knowledge.","

**About Zid:** We're Zid, a leading e-commerce company in Saudi Arabia, constantly growing and innovating to empower businesses. Our Legal team drives compliance, safeguards our brand, and supports our vision with legal expertise.


"
Amazon Web Services (AWS),"2025 Graduate Technical Sales Representative - KSA National, AWS",Riyadh,amazon.com,https://www.linkedin.com/jobs/view/2025-graduate-technical-sales-representative-ksa-national-aws-at-amazon-web-services-aws-4064980904,2024-11-01T02:54:43.021Z,,,"computer science, marketing, business administration, engineering, information technology",,"Communication skills, Teamwork, Problem-solving, Adaptability",No description or company information found.
PwC Middle East,"IFS, Graduate Programme, Middle East, 2025",Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/ifs-graduate-programme-middle-east-2025-at-pwc-middle-east-4023114630,2024-10-26T09:29:15.510Z,2.0,3.5,"banking, psychology, finance, maths, marketing and communications, economics, hr, accounting",,"Data analysis, influencing, presentation skills","Do you want to power transformation throughout the Middle East? Join us on our Internal Firm Services Finance Graduate Programme and be part of a human-led, tech-powered future. Each of our IFS Finance Graduates has a different journey. Let us help shape yours! You might be wondering what an IFS Finance role involves. Our Internal Firm Services are the reason PwC Middle East can operate, transforming the Middle East through our clients. Over the two years, we'll help you learn how to budget, forecast and analyse financial movements throughout our business. The teams you could join include Finance, Human Capital (HC), Marketing and Communications (M&C), and Leadership & Succession. We are looking for graduates with the ability to work from their own initiative, who are flexible, detail-oriented, and confident in asking questions. You should be a recent or final-year undergraduate on track for a 3.5 GPA or equivalent in a Finance, Accounting, Maths, Economics, Banking (with a specialisation in Accounting) or Business-related degree subject area; or equivalent in an HR, Psychology or Business-related degree subject area; or in a Marketing and Communications related degree subject area. Fluent in English with a preference for native Arabic language skills (spoken and written) is required. Willingness to be based out of Saudi Arabia, UAE, or Egypt and availability to join for the program start date in September 2025 are also necessary. During the programme, we'll help you develop your data analysis, influencing and presentation skills. The program includes the opportunity to complete a professional qualification such as ACCA. Employee benefits include a flexible working model, holistic wellbeing initiatives and programmes, medical cover and employee life insurance."
Elm Company,Coop Training - Legal (Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-legal-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056466821,2024-10-23T19:03:06.000Z,2.75,3.25,law,16 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","Elm Company offers multiple co-op opportunities providing practical experience and exposure to emerging technologies in areas like IT Development, Quality Assurance, IoT, and AI. Eligibility requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and one remaining final semester before graduation. The co-op lasts a minimum of 16 weeks."
PwC,EDGE - Transaction Services - Jeddah,Jeddah,taxpackagesupport.com,https://www.linkedin.com/jobs/view/edge-transaction-services-jeddah-at-pwc-4061746131,2024-10-28T19:34:04.214Z,2.0,3.5,"business, stem",,"Client management, problem solving, analytical thinking, presentation skills","Do you want to create the foundations of businesses that could transform entire countries and regions? Join us on our Deals Graduate Programme (Edge) and be a part of a human-led, tech-powered future. You'll work across a variety of clients to assist them with their deal needs including: strategy and transaction advisory (due diligence and valuations) for domestic and cross border M&A, divestitures and spin-offs, capital markets transactions like IPOs, as well as business restructurings, including bankruptcies and forensic services. In addition, we work on capital projects including mega projects and provide infrastructure and government advice. Each of our Edge Graduates have a different journey and enjoy the benefits of being part of such a diversified group who positively contribute to their clients' growth in a variety of ways. Let us help shape your journey! Over the three years of the Edge programme, we'll help you learn how to investigate client needs effectively, create proposals to reach solutions and present information effectively to people of all levels, knowledge, areas and backgrounds. Human-led, Tech-powered You might think that Deals only about propositions and acquisitions, but that's not all that it means. At PwC Middle East, Deals is about providing opportunities, accelerating transformation and developing stronger capabilities. Our teams go above and beyond to understand their clients, the markets they're in and what they're trying to achieve. Our clients need to make strategic moves and Deals is the reason they can. Discover your future with us We're looking for versatile graduates with a real interest in problem solving. You need to be curious and confident in asking questions. You should also be: A recent or final-year undergraduate on track for a 3.5 GPA or equivalent in a STEM or Business-related degree subject area Fluent in English with a preference for native Arabic language skills (spoken and written) During the programme, we'll help you to develop your client management, problem solving, analytical thinking and presentation skills, so it's important that you're willing and keen to learn and drive your own development. Our programme won't just help you build the practical experience needed to develop a successful career but will also give you the opportunity to complete a professional qualification during your journey, including Chartered Financial Analyst (CFA), Association of Chartered Certified Accountants (ACCA), Associate Chartered Accountant (ACA) or Certified Public Accountant (CPA). We'll also offer a wide range of employee benefits differing by location, including: Flexible working model Holistic wellbeing initiatives and programmes Medical cover and employee life insurance We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you'll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Ready to transform the Middle East? Submit your application today. Start date: September 2024"
PwC Middle East,EDGE - Corporate Finance - Riyadh,Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/edge-corporate-finance-riyadh-at-pwc-middle-east-4060394914,2024-10-28T16:28:47.000Z,2.0,3.5,"business, stem",,"Problem-solving, analytical thinking, presentation skills, client management, English fluency (native Arabic preferred)","A career in PwC's Corporate Finance practice will involve delivering innovative deal solutions, providing advice and support from deal initiation to completion. The team focuses on acting as lead financial advisors in sell-side and buy-side transactions. The Edge Graduate Programme offers work on various client deal needs, including M&A, divestitures, spin-offs, IPOs, restructurings, and capital projects. The three-year program develops skills in client management, problem-solving, analytical thinking, and presentation. Graduates will also have the opportunity to pursue professional qualifications like CFA, ACCA, ACA, or CPA. Benefits include a flexible working model, wellbeing initiatives, medical cover, and life insurance."
PwC,EDGE - Forensics - Riyadh,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/edge-forensics-riyadh-at-pwc-4061748604,2024-10-28T19:40:15.579Z,2.0,3.5,"business, stem",,"Client management, problem-solving, analytical thinking, presentation skills, fluency in English, fluency in Arabic (preferred)","A career in Forensics Technology services at PwC will involve helping clients protect their businesses by applying advanced approaches to information management, focusing on managing electronic data and navigating legal and business processes in events like litigation, regulatory requests, and internal investigations. The Edge Graduate Programme offers work across various clients, assisting with deal needs including M&A, divestitures, spin-offs, capital markets transactions, business restructurings, and forensic services. The three-year program helps graduates learn to investigate client needs, create proposals, and present information effectively. PwC seeks versatile graduates interested in problem-solving, with a 3.5 GPA or equivalent in a STEM or Business-related degree, fluency in English, and preferably native Arabic skills. The program develops client management, problem-solving, analytical thinking, and presentation skills, and offers opportunities to complete professional qualifications like CFA, ACCA, ACA, or CPA. Benefits include a flexible working model, wellbeing initiatives, medical cover, and employee life insurance."
Kreativstorm,Java Developer - Intern (Remote Internship - IT),Medina,kreativstorm.de,https://www.linkedin.com/jobs/view/java-developer-intern-remote-internship-it-at-kreativstorm-4061563321,2024-10-28T14:24:33.000Z,,,"computer science, information technology",3 months,"Java programming language, Spring, Hibernate, object-oriented programming, web applications, APIs, software design patterns, problem-solving, communication, teamwork, debugging, testing, optimizing Java applications, software development lifecycle, software development best practices","Kreativstorm is hiring for a Java Developer Intern (Remote Internship - IT) position. The internship is part-time, 3 months long, with the possibility of permanent employment. Responsibilities include contributing to Java development projects, collaborating on software solutions, debugging and testing applications, and fostering a collaborative team environment. Ideal candidates are students or recent graduates in Computer Science or related fields with strong problem-solving skills and proficiency in Java and related technologies (e.g., Spring, Hibernate)."
Limo | ليمو,Fresh graduate Accountate,Jeddah,mylimoapp.com,https://www.linkedin.com/jobs/view/fresh-graduate-accountate-at-limo-%D9%84%D9%8A%D9%85%D9%88-4020705071,2024-09-08T06:54:15.000Z,,,"business, finance, accounting",,"Communication skills, Teamwork, Problem-solving, Adaptability",No description or company information found.
Kreativstorm,Market Analyst - Intern (Remote Internship - Market Research),Medina,kreativstorm.de,https://www.linkedin.com/jobs/view/market-analyst-intern-remote-internship-market-research-at-kreativstorm-4071670466,2024-11-07T13:32:49.820Z,,,"marketing, business,economics",3 months,"Analytical thinking, data interpretation, communication, teamwork, detail-orientation, market research tools and techniques (e.g., surveys, focus groups), statistical analysis, data visualization.","Dive into the dynamic field of market research with an exclusive internship opportunity offered by Kreativstorm, a dynamic and innovative management-consulting firm based in Berlin, Germany. Work remotely with our multinational team and gain valuable experience in market analysis! If you're passionate about understanding market dynamics and have strong analytical skills, this internship is perfect for you. Under the guidance of industry experts, you'll work on diverse market research projects, exploring concepts like market segmentation, consumer behavior, competitive analysis, and data interpretation. Gain hands-on experience in providing strategic market insights, all from the comfort of your home. Internship Overview and Details: Location: Fully Remote Schedule: Part-Time Internship Duration: 3 months with the possibility of permanent employment after the internship period Requirements Ideal Candidates: Students pursuing a degree or recent graduates in Marketing, Business, Economics, or a related field. Aspiring market analysts with a strong interest in market research and analysis. Analytical thinkers adept at interpreting data and deriving insights. Effective communicators who thrive in collaborative team environments. Detail-oriented individuals excelling in fast-paced, research-focused settings. Enthusiastic learners committed to refining their market analysis skills. Proficiency in market research tools and techniques (e.g., surveys, focus groups) is highly valued. Familiarity with statistical analysis and data visualization advantageous. Some initial industry experience is a big plus. Your Contribution: Contribute to market research projects, conducting thorough data collection and analysis. Collaborate with the research team to interpret market trends and consumer behavior. Assist in developing market reports and strategic recommendations. Bring fresh perspectives and innovative solutions to market research challenges. Foster a collaborative team environment focused on excellence in market analysis. Support in documenting and presenting market research findings. Benefits Why Join Us? Kreativstorm is a dynamic and innovative management-consulting firm headquartered in Berlin, Germany. Our team of experienced consultants brings a diverse range of talents and backgrounds, allowing us to provide tailored solutions to businesses of all sizes and industries. As part of the Yes Network Group, LLC, a reputable US holding company, we have access to extensive resources and expertise. Join us and start your journey in market analysis today! Apply now and pave the way for your future in market analysis!"
GE Vernova,Co-op,Dammam,linktree.com,https://www.linkedin.com/jobs/view/co-op-at-ge-vernova-4027655395,2024-10-29T09:24:51.000Z,,,"electrical, engineering industrial, stem, mis, information systems, business administration, hr, production, mechanical",28 weeks (up to 7 months),"Leadership Capabilities, communication skills, Economic Order Quantity (EOQ), Vendor Management Inventory (VMI), material scheduling, database updating, document editing, procurement follow-up, expediting management, lean project management, root cause analysis (8D, 5Why, Fishbone), data analysis (SAP, Tableau), troubleshooting, collaboration, project management, sourcing, RFQ preparation, vendor proposal review, contract award process, data analysis (decision-making, prioritization), sourcing plan development, contract management, supplier selection, preferred supplier development, negotiation, e-auctions, cost reduction, on-time delivery, cash improvement, cost analysis, supplier quality and delivery performance improvement, supplier scorecard implementation, order management, process improvement, escalation handling, database management, active listening, communication skills (English), proficiency in Microsoft Office applications, teamwork, EHS and Quality focus.","GE Vernova's Co-op program is a 28-week (up to 7 months) internship focused on repair shop activities. The program develops general skills through on-the-job experience and assignments related to the intern's major. Responsibilities vary depending on the specific role (Material Engineer, Continuous Improvement Engineer, Operations, Site IT, Sourcing) and include tasks such as material scheduling, lean project implementation, IT support, and vendor management. Qualifications include being a student in an engineering or STEM field, strong communication skills, proficiency in Microsoft Office, and teamwork abilities."
Elm Company,Coop Training - Accounting (Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-accounting-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056469145,2024-10-23T19:02:59.000Z,2.75,3.25,accounting,16 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","Elm Company offers Coop Training in Accounting (Jan/Mar/Jun/Aug 2025 Intake). The program provides practical experience and exposure to emerging technologies in IT Development, Quality Assurance, IoT, Artificial Intelligence, and various business areas. Eligibility requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and being in the final semester of studies. The training lasts a minimum of 16 weeks."
Lumi | لومي,Workshop Technician Coop Intern,Tabuk,lumirental.com,https://www.linkedin.com/jobs/view/workshop-technician-coop-intern-at-lumi-%D9%84%D9%88%D9%85%D9%8A-4068237342,2024-11-04T12:01:36.857Z,,,"mechanical engineering, automotive technology",,"Time management, Communication skills, Adaptability, Problem-solving","Dear soon to be graduates!! We are delighted to see your interest in growing your career with us in LUMI. Our unique COOP program provides students with hands-on experience and a head start in their profession by having intern vacancies in all kingdom cities, with one of the largest car rental companies. To be eligible for our program, please note the following requirements: Saudi national. Senior graduate student, (but not yet have graduated). Very good GPA. letter from your university. Compensation & benefits: You would have an incentive of 1500 SR monthly. You would be provided with a Laptop/ PC from the company in your training period. You would have experience letter from Lumi after completing your training period. We wish you the best of luck with your application."
Elm Company,Coop Training - Information System(Jan/Mar/Jun/Aug 2025 Intake) Job,Riyadh,elm.sa,https://www.linkedin.com/jobs/view/coop-training-information-system-jan-mar-jun-aug-2025-intake-job-at-elm-company-4056473081,2024-10-23T19:10:02.000Z,2.75,3.25,information system,16 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","Elm Company is hiring for a Coop Training - Information System position. The program offers a unique experience and challenges in IT Development, Quality Assurance, IoT, Artificial Intelligence, Innovation, Data Science, Data Analytics, Business Analyst, Business Development, Sales, Corporate Development, Procurement, and HR. The Coop program provides practical work experience and exposure to emerging technologies. Eligibility requires a minimum GPA of 2.75/4.0 or 3.25/5.0 and students with one remaining final semester before graduation. The training duration is a minimum of 16 weeks."
